Percentiles,Rainfall Values
1,0.11
2,0.166
3,0.263
4,0.282
5,0.366
6,0.461
7,0.573
8,0.631
9,0.735
10,0.771
11,0.798
12,0.877
13,0.983
14,1.017
15,1.093
16,1.156
17,1.205
18,1.224
19,1.25
20,1.289
21,1.319
22,1.366
23,1.425
24,1.457
25,1.489
26,1.537
27,1.587
28,1.623
29,1.667
30,1.684
31,1.701
32,1.767
33,1.793
34,1.845
35,1.917
36,1.952
37,2.006
38,2.066
39,2.12
40,2.175
41,2.206
42,2.266
43,2.3
44,2.321
45,2.353
46,2.409
47,2.507
48,2.559
49,2.597
50,2.625
51,2.67
52,2.703
53,2.738
54,2.794
55,2.812
56,2.823
57,2.836
58,2.868
59,2.937
60,2.987
61,3.03
62,3.074
63,3.116
64,3.142
65,3.195
66,3.279
67,3.412
68,3.549
69,3.629
70,3.7
71,3.759
72,3.796
73,3.887
74,3.968
75,4.064
76,4.103
77,4.209
78,4.236
79,4.325
80,4.446
81,4.544
82,4.643
83,4.761
84,4.793
85,4.899
86,5.049
87,5.09
88,5.219
89,5.394
90,5.463
91,5.588
92,5.648
93,5.789
94,5.97
95,6.062
96,6.388
97,6.614
98,6.99
99,7.421
