Percentiles,Rainfall Values
1,1.748
2,1.894
3,2.46
4,2.79
5,2.93
6,3.157
7,3.481
8,3.947
9,4.341
10,4.772
11,5.107
12,5.302
13,5.481
14,5.795
15,6.2
16,6.608
17,6.773
18,6.829
19,6.9
20,7.008
21,7.098
22,7.174
23,7.236
24,7.349
25,7.538
26,7.692
27,7.759
28,7.874
29,8.057
30,8.179
31,8.346
32,8.464
33,8.538
34,8.595
35,8.724
36,8.802
37,8.943
38,9.021
39,9.101
40,9.198
41,9.32
42,9.401
43,9.497
44,9.629
45,9.823
46,9.927
47,10.027
48,10.098
49,10.193
50,10.246
51,10.386
52,10.49
53,10.622
54,10.682
55,10.769
56,10.806
57,10.959
58,11.057
59,11.16
60,11.284
61,11.428
62,11.511
63,11.771
64,12.031
65,12.182
66,12.321
67,12.422
68,12.506
69,12.724
70,12.947
71,12.975
72,13.076
73,13.191
74,13.231
75,13.424
76,13.733
77,13.786
78,13.933
79,13.977
80,14.151
81,14.371
82,14.492
83,14.566
84,14.665
85,14.868
86,14.998
87,15.253
88,15.303
89,15.603
90,15.799
91,16.331
92,16.687
93,17.045
94,17.468
95,18.127
96,18.953
97,19.669
98,20.253
99,20.818
