Percentiles,Rainfall Values
1,0.83
2,0.928
3,1.137
4,1.448
5,1.558
6,1.826
7,1.958
8,2.305
9,2.559
10,2.666
11,2.815
12,3.263
13,3.333
14,3.464
15,3.632
16,3.766
17,3.901
18,4.066
19,4.164
20,4.203
21,4.285
22,4.41
23,4.525
24,4.58
25,4.616
26,4.75
27,4.808
28,4.883
29,4.929
30,5.104
31,5.153
32,5.212
33,5.322
34,5.426
35,5.455
36,5.569
37,5.854
38,5.945
39,6.025
40,6.046
41,6.219
42,6.24
43,6.315
44,6.464
45,6.546
46,6.572
47,6.625
48,6.725
49,6.785
50,6.859
51,6.981
52,7.006
53,7.042
54,7.157
55,7.244
56,7.313
57,7.44
58,7.605
59,7.686
60,7.771
61,7.835
62,8.04
63,8.184
64,8.25
65,8.312
66,8.432
67,8.493
68,8.583
69,8.67
70,8.72
71,9.002
72,9.061
73,9.182
74,9.342
75,9.389
76,9.526
77,9.61
78,9.659
79,9.833
80,10.022
81,10.216
82,10.312
83,10.381
84,10.476
85,10.641
86,10.803
87,10.947
88,11.022
89,11.266
90,11.703
91,11.792
92,12.01
93,12.108
94,12.673
95,12.998
96,13.285
97,13.827
98,14.453
99,14.814
