Percentiles,Rainfall Values
1,0.849
2,0.994
3,1.266
4,1.642
5,1.752
6,2.241
7,2.46
8,2.817
9,2.943
10,3.017
11,3.217
12,3.631
13,3.764
14,3.895
15,3.973
16,4.152
17,4.296
18,4.42
19,4.596
20,4.622
21,4.73
22,4.784
23,4.863
24,4.932
25,5.114
26,5.175
27,5.215
28,5.389
29,5.426
30,5.518
31,5.577
32,5.699
33,5.758
34,5.847
35,5.922
36,5.986
37,6.077
38,6.249
39,6.36
40,6.515
41,6.631
42,6.777
43,6.954
44,7.078
45,7.132
46,7.234
47,7.344
48,7.392
49,7.414
50,7.477
51,7.607
52,7.679
53,7.729
54,7.805
55,7.838
56,7.93
57,8.005
58,8.03
59,8.113
60,8.183
61,8.263
62,8.359
63,8.392
64,8.608
65,8.704
66,8.838
67,8.954
68,9.011
69,9.138
70,9.217
71,9.353
72,9.428
73,9.482
74,9.607
75,9.749
76,10.141
77,10.226
78,10.361
79,10.505
80,10.605
81,10.808
82,10.915
83,10.98
84,11.028
85,11.19
86,11.326
87,11.381
88,11.519
89,11.659
90,11.742
91,11.963
92,12.118
93,12.729
94,13.347
95,13.987
96,14.49
97,14.708
98,15.796
99,16.424
