Percentiles,Rainfall Values
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0.023
35,0.067
36,0.114
37,0.177
38,0.247
39,0.305
40,0.372
41,0.443
42,0.515
43,0.583
44,0.652
45,0.721
46,0.794
47,0.878
48,0.953
49,1.034
50,1.117
51,1.199
52,1.29
53,1.389
54,1.496
55,1.611
56,1.734
57,1.868
58,1.994
59,2.131
60,2.279
61,2.441
62,2.614
63,2.815
64,3.032
65,3.229
66,3.448
67,3.692
68,3.952
69,4.21
70,4.492
71,4.798
72,5.096
73,5.401
74,5.735
75,6.068
76,6.454
77,6.843
78,7.278
79,7.767
80,8.278
81,8.799
82,9.336
83,9.948
84,10.6
85,11.315
86,12.157
87,13.111
88,14.204
89,15.273
90,16.499
91,17.918
92,19.565
93,21.89
94,24.516
95,28.031
96,32.508
97,39.038
98,49.678
99,73.878
