Percentiles,Rainfall Values
1,0.046
2,0.078
3,0.144
4,0.21
5,0.314
6,0.463
7,0.612
8,0.855
9,1.223
10,1.592
11,1.905
12,2.13
13,2.356
14,2.508
15,2.533
16,2.558
17,2.581
18,2.6
19,2.618
20,2.685
21,2.864
22,3.043
23,3.189
24,3.249
25,3.31
26,3.369
27,3.426
28,3.482
29,3.571
30,3.777
31,3.983
32,4.164
33,4.235
34,4.306
35,4.37
36,4.396
37,4.423
38,4.449
39,4.477
40,4.506
41,4.531
42,4.536
43,4.541
44,4.547
45,4.575
46,4.603
47,4.63
48,4.644
49,4.657
50,4.67
51,4.801
52,4.931
53,5.062
54,5.089
55,5.113
56,5.138
57,5.245
58,5.357
59,5.47
60,5.516
61,5.556
62,5.595
63,5.619
64,5.641
65,5.663
66,5.843
67,6.051
68,6.259
69,6.307
70,6.319
71,6.33
72,6.692
73,7.148
74,7.604
75,7.838
76,8.002
77,8.166
78,8.231
79,8.258
80,8.285
81,8.602
82,9.045
83,9.488
84,9.69
85,9.771
86,9.852
87,10.323
88,11.018
89,11.713
90,12.212
91,12.583
92,12.955
93,16.336
94,21.937
95,27.537
96,39.12
97,55.687
98,72.254
99,80.286
