Percentiles,Rainfall Values
1,0.474
2,0.595
3,0.732
4,0.947
5,1.009
6,1.076
7,1.184
8,1.291
9,1.492
10,1.587
11,1.615
12,1.749
13,1.774
14,1.84
15,1.961
16,1.999
17,2.065
18,2.138
19,2.217
20,2.312
21,2.428
22,2.523
23,2.61
24,2.687
25,2.721
26,2.817
27,2.937
28,3.044
29,3.134
30,3.197
31,3.337
32,3.381
33,3.439
34,3.482
35,3.641
36,3.699
37,3.769
38,3.804
39,3.887
40,3.979
41,4.018
42,4.172
43,4.304
44,4.349
45,4.404
46,4.545
47,4.655
48,4.872
49,5.082
50,5.196
51,5.595
52,5.742
53,5.848
54,5.988
55,6.117
56,6.188
57,6.291
58,6.407
59,6.51
60,6.663
61,6.83
62,7.007
63,7.181
64,7.484
65,7.589
66,7.744
67,7.951
68,8.19
69,8.393
70,8.621
71,8.786
72,9.15
73,9.648
74,9.995
75,10.122
76,10.39
77,10.586
78,10.73
79,10.857
80,11.311
81,11.645
82,11.879
83,12.145
84,12.4
85,12.947
86,13.381
87,13.914
88,14.663
89,15.048
90,15.411
91,15.837
92,16.329
93,16.989
94,18.103
95,20.263
96,20.66
97,22.714
98,25.02
99,28.264
