Percentiles,Rainfall Values
1,0.008
2,0.031
3,0.065
4,0.107
5,0.145
6,0.191
7,0.244
8,0.298
9,0.359
10,0.412
11,0.473
12,0.534
13,0.603
14,0.671
15,0.74
16,0.801
17,0.89
18,0.965
19,1.053
20,1.137
21,1.213
22,1.303
23,1.404
24,1.495
25,1.593
26,1.724
27,1.831
28,1.945
29,2.071
30,2.197
31,2.35
32,2.48
33,2.609
34,2.746
35,2.876
36,3.017
37,3.166
38,3.319
39,3.468
40,3.624
41,3.799
42,3.96
43,4.106
44,4.274
45,4.457
46,4.616
47,4.789
48,4.959
49,5.142
50,5.314
51,5.486
52,5.653
53,5.848
54,6.058
55,6.26
56,6.454
57,6.645
58,6.827
59,7.027
60,7.263
61,7.469
62,7.683
63,7.942
64,8.186
65,8.423
66,8.644
67,8.874
68,9.159
69,9.407
70,9.698
71,10.015
72,10.33
73,10.652
74,11.002
75,11.383
76,11.765
77,12.177
78,12.636
79,13.031
80,13.476
81,14.046
82,14.519
83,15.082
84,15.575
85,16.121
86,16.83
87,17.563
88,18.433
89,19.455
90,20.501
91,21.844
92,23.189
93,24.62
94,26.401
95,28.694
96,32.168
97,36.788
98,44.21
99,59.004
