Percentiles,Rainfall Values
1,0.111
2,0.127
3,0.16
4,0.194
5,0.263
6,0.376
7,0.489
8,0.628
9,0.804
10,0.98
11,1.128
12,1.234
13,1.34
14,1.551
15,1.944
16,2.336
17,2.679
18,2.921
19,3.162
20,3.35
21,3.413
22,3.475
23,3.528
24,3.555
25,3.581
26,3.603
27,3.61
28,3.618
29,3.639
30,3.711
31,3.783
32,3.844
33,3.857
34,3.869
35,3.888
36,3.942
37,3.996
38,4.059
39,4.179
40,4.3
41,4.415
42,4.472
43,4.529
44,4.582
45,4.585
46,4.587
47,4.594
48,4.709
49,4.825
50,4.94
51,5.016
52,5.092
53,5.169
54,5.201
55,5.232
56,5.263
57,5.32
58,5.38
59,5.439
60,5.546
61,5.659
62,5.771
63,5.795
64,5.807
65,5.819
66,5.933
67,6.064
68,6.196
69,6.305
70,6.409
71,6.513
72,7.073
73,7.755
74,8.438
75,8.795
76,9.047
77,9.3
78,9.532
79,9.757
80,9.982
81,10.197
82,10.409
83,10.62
84,10.771
85,10.891
86,11.011
87,11.421
88,11.995
89,12.57
90,13.408
91,14.418
92,15.428
93,17.799
94,21.174
95,24.549
96,36.064
97,54.362
98,72.66
99,81.532
