Percentiles,Rainfall Values
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0.06
32,0.143
33,0.229
34,0.306
35,0.378
36,0.473
37,0.552
38,0.629
39,0.712
40,0.803
41,0.895
42,1.007
43,1.122
44,1.24
45,1.366
46,1.484
47,1.604
48,1.74
49,1.878
50,2.027
51,2.174
52,2.338
53,2.493
54,2.656
55,2.832
56,3.038
57,3.253
58,3.489
59,3.763
60,4.011
61,4.215
62,4.524
63,4.799
64,5.126
65,5.415
66,5.709
67,6.063
68,6.478
69,6.821
70,7.153
71,7.7
72,8.222
73,8.711
74,9.219
75,9.791
76,10.39
77,11.089
78,11.756
79,12.529
80,13.323
81,14.195
82,15.199
83,16.086
84,17.344
85,18.712
86,20.127
87,21.65
88,23.783
89,25.611
90,28.48
91,31.336
92,34.484
93,38.573
94,43.68
95,50.124
96,57.939
97,71.023
98,90.308
99,130.42
