Percentiles,Rainfall Values
1,0.069
2,0.153
3,0.261
4,0.349
5,0.449
6,0.521
7,0.61
8,0.702
9,0.784
10,0.894
11,1.007
12,1.09
13,1.16
14,1.266
15,1.343
16,1.442
17,1.518
18,1.624
19,1.699
20,1.831
21,1.921
22,2.024
23,2.107
24,2.19
25,2.302
26,2.388
27,2.501
28,2.598
29,2.739
30,2.838
31,2.988
32,3.179
33,3.311
34,3.495
35,3.69
36,3.838
37,3.985
38,4.132
39,4.311
40,4.474
41,4.645
42,4.807
43,4.959
44,5.188
45,5.44
46,5.651
47,5.956
48,6.181
49,6.445
50,6.659
51,6.909
52,7.216
53,7.553
54,7.939
55,8.292
56,8.67
57,8.972
58,9.323
59,9.686
60,10.242
61,10.551
62,10.999
63,11.336
64,11.738
65,12.32
66,12.813
67,13.229
68,13.84
69,14.365
70,14.979
71,15.592
72,15.934
73,16.637
74,17.197
75,18.009
76,18.77
77,19.649
78,20.473
79,21.335
80,22.625
81,23.713
82,24.775
83,26.835
84,28.5
85,30.537
86,32.364
87,35.217
88,38.368
89,41.155
90,44.241
91,48.809
92,52.567
93,58.903
94,66.483
95,74.039
96,83.521
97,93.053
98,104.261
99,133.649
