Percentiles,Rainfall Values
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0.014
33,0.077
34,0.153
35,0.231
36,0.307
37,0.387
38,0.472
39,0.553
40,0.633
41,0.719
42,0.807
43,0.902
44,1
45,1.102
46,1.223
47,1.339
48,1.454
49,1.574
50,1.705
51,1.839
52,1.986
53,2.136
54,2.296
55,2.474
56,2.646
57,2.823
58,3.013
59,3.211
60,3.441
61,3.672
62,3.905
63,4.154
64,4.425
65,4.698
66,4.983
67,5.294
68,5.623
69,5.987
70,6.335
71,6.714
72,7.115
73,7.535
74,7.988
75,8.476
76,9.016
77,9.573
78,10.171
79,10.809
80,11.456
81,12.222
82,13.04
83,13.916
84,14.89
85,15.926
86,17.044
87,18.316
88,19.786
89,21.409
90,23.287
91,25.421
92,27.898
93,30.906
94,34.491
95,39.12
96,44.82
97,53.112
98,65.538
99,88.804
