Percentiles,Rainfall Values
1,0.471
2,0.592
3,0.702
4,0.95
5,1.181
6,1.248
7,1.294
8,1.461
9,1.63
10,1.748
11,1.831
12,1.98
13,2.231
14,2.346
15,2.456
16,2.479
17,2.551
18,2.632
19,2.682
20,2.857
21,3.09
22,3.217
23,3.252
24,3.318
25,3.42
26,3.496
27,3.582
28,3.722
29,3.794
30,3.853
31,4.005
32,4.225
33,4.337
34,4.402
35,4.493
36,4.609
37,4.705
38,4.81
39,4.929
40,5.014
41,5.167
42,5.341
43,5.418
44,5.507
45,5.611
46,5.713
47,5.822
48,5.876
49,6.199
50,6.435
51,6.713
52,6.825
53,7.134
54,7.201
55,7.372
56,7.46
57,7.549
58,7.637
59,7.785
60,7.932
61,8.014
62,8.354
63,8.637
64,8.789
65,8.96
66,9.149
67,9.513
68,9.779
69,9.958
70,10.117
71,10.293
72,10.606
73,11.048
74,11.431
75,11.595
76,11.829
77,11.952
78,12.031
79,12.229
80,12.311
81,12.608
82,12.763
83,13.156
84,13.481
85,13.729
86,14.16
87,14.96
88,15.516
89,15.881
90,16.213
91,16.371
92,16.694
93,17.359
94,18.46
95,19.469
96,20.944
97,22.661
98,25.32
99,26.7
