Percentiles,Rainfall Values
1,1.35
2,1.673
3,2.032
4,2.527
5,2.927
6,3.108
7,3.298
8,3.495
9,3.942
10,4.112
11,4.332
12,4.555
13,4.753
14,5.155
15,5.303
16,5.436
17,5.501
18,5.602
19,5.909
20,6.025
21,6.264
22,6.368
23,6.598
24,6.79
25,6.97
26,7.137
27,7.326
28,7.641
29,7.797
30,8.015
31,8.203
32,8.291
33,8.36
34,8.528
35,8.779
36,8.92
37,9.16
38,9.381
39,9.431
40,9.563
41,9.745
42,9.98
43,10.133
44,10.316
45,10.522
46,10.724
47,10.967
48,11.131
49,11.266
50,11.749
51,12.157
52,12.35
53,12.797
54,13.073
55,13.232
56,13.38
57,13.724
58,13.934
59,14.297
60,14.52
61,14.883
62,15.111
63,15.332
64,15.485
65,15.978
66,16.481
67,16.747
68,16.988
69,17.565
70,17.799
71,18.265
72,18.587
73,18.858
74,19.315
75,19.689
76,20.217
77,20.377
78,20.871
79,20.976
80,21.366
81,21.817
82,21.997
83,22.289
84,23.257
85,23.683
86,24.246
87,24.847
88,25.805
89,26.229
90,26.741
91,27.505
92,27.722
93,28.853
94,30.466
95,31.859
96,34.424
97,37.816
98,40.184
99,45.574
