Percentiles,Rainfall Values
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0.006
27,0.009
28,0.01
29,0.014
30,0.017
31,0.019
32,0.022
33,0.026
34,0.03
35,0.036
36,0.038
37,0.04
38,0.044
39,0.049
40,0.051
41,0.053
42,0.057
43,0.06
44,0.061
45,0.065
46,0.066
47,0.073
48,0.084
49,0.089
50,0.093
51,0.097
52,0.105
53,0.115
54,0.126
55,0.135
56,0.137
57,0.14
58,0.144
59,0.153
60,0.159
61,0.172
62,0.185
63,0.199
64,0.219
65,0.228
66,0.254
67,0.265
68,0.27
69,0.294
70,0.309
71,0.325
72,0.347
73,0.374
74,0.393
75,0.411
76,0.424
77,0.45
78,0.47
79,0.491
80,0.521
81,0.556
82,0.609
83,0.639
84,0.673
85,0.751
86,0.781
87,0.816
88,0.879
89,1.028
90,1.061
91,1.185
92,1.208
93,1.283
94,1.516
95,1.615
96,1.752
97,2.099
98,2.413
99,2.983
