WT_code,Count
11111,0
11112,797190
11120,83913
11211,0
11212,436815
11220,30466
11230,360
12111,0
12112,139786
12113,95
12120,35380
12130,614
12211,0
12212,77366
12213,33
12221,0
12222,14999
12230,151
13111,0
13112,110805
13113,32
13120,44643
13211,0
13212,53013
13220,14479
13230,184
13311,0
13312,27
13320,1
14111,0
14112,98309
14113,37
14120,67850
14211,0
14212,23464
14213,23
14221,0
14222,12222
14223,2
14230,153
14311,0
14312,4
14320,0
21111,0
21112,560456
21113,119
21120,139006
21130,5055
21211,0
21212,199774
21213,7
21220,30689
21230,650
21311,0
21312,63
21320,0
22111,0
22112,97804
22113,6
22120,49350
22130,1699
22211,0
22212,27350
22213,0
22220,11633
22230,213
22311,0
22312,9
22320,0
23110,67506
23120,39393
23130,1143
23211,0
23212,12063
23213,0
23221,0
23222,7788
23230,143
23311,0
23312,1
23320,1
24110,29509
24120,29649
24130,517
24211,0
24212,2790
24213,0
24221,0
24222,4246
24223,0
24230,59
24311,0
24312,0
24320,0
31111,0
31112,465500
31113,54
31121,98367
31122,37
31131,7162
31132,0
31140,252
31211,0
31212,132584
31213,2
31220,16820
31230,790
31240,26
31311,0
31312,39
31320,0
32111,0
32112,66092
32113,0
32120,31002
32130,1789
32140,78
32211,0
32212,12981
32213,0
32221,0
32222,4962
32230,165
32240,4
32311,0
32312,0
32320,0
33110,47420
33120,33505
33130,1149
33211,0
33212,6972
33220,4845
33230,109
33311,0
33312,0
33321,0
33322,0
34110,8900
34120,13510
34130,378
34210,1105
34220,1620
34230,37
34310,0
34320,0
35100,2836
35200,253
35300,0
41111,0
41112,368999
41113,24
41121,40078
41122,20
41131,2913
41132,0
41141,147
41142,0
41211,0
41212,73283
41213,0
41221,0
41222,5624
41223,4
41230,357
41240,21
41311,0
41312,8
41313,0
41320,0
42111,0
42112,50575
42113,0
42120,21360
42130,1686
42140,83
42211,0
42212,5586
42213,0
42221,0
42222,2371
42223,0
42230,177
42240,9
42311,0
42312,0
42321,0
42322,0
43110,6258
43120,10653
43130,452
43141,17
43142,0
43211,0
43212,643
43220,918
43230,50
43240,1
43311,0
43312,0
43320,0
44110,785
44120,3484
44130,112
44140,5
44210,150
44220,227
44230,10
44240,0
44310,0
44320,0
45100,452
45200,37
45300,0
