WT_code,Count
11111,0
11112,608432
11120,90438
11211,0
11212,367822
11220,24479
11230,332
12111,0
12112,112472
12113,14
12120,38669
12130,1090
12211,0
12212,64278
12213,62
12221,0
12222,14317
12230,276
13111,0
13112,77172
13113,7
13120,42969
13211,0
13212,39622
13220,13932
13230,424
13311,0
13312,6
13320,2
14111,0
14112,40989
14113,2
14120,41761
14211,0
14212,10453
14213,9
14221,0
14222,7824
14223,1
14230,327
14311,0
14312,1
14320,0
21111,0
21112,469431
21113,101
21120,110969
21130,4295
21211,0
21212,169632
21213,6
21220,21635
21230,591
21311,0
21312,25
21320,0
22111,0
22112,135915
22113,4
22120,80861
22130,4811
22211,0
22212,41728
22213,0
22220,19810
22230,679
22311,0
22312,0
22320,1
23110,79627
23120,74941
23130,5655
23211,0
23212,23178
23213,0
23221,0
23222,19632
23230,813
23311,0
23312,0
23320,2
24110,17835
24120,31613
24130,3220
24211,0
24212,2445
24213,0
24221,0
24222,5399
24223,0
24230,526
24311,0
24312,0
24320,0
31111,0
31112,410356
31113,68
31121,71674
31122,54
31131,4163
31132,4
31140,540
31211,0
31212,120888
31213,2
31220,11815
31230,642
31240,76
31311,0
31312,20
31320,0
32111,0
32112,55752
32113,0
32120,45790
32130,3755
32140,665
32211,0
32212,11602
32213,0
32221,0
32222,6535
32230,422
32240,101
32311,0
32312,2
32320,1
33110,47703
33120,89898
33130,11865
33211,0
33212,7625
33220,11143
33230,1031
33311,0
33312,0
33321,0
33322,1
34110,13915
34120,46538
34130,7761
34210,1605
34220,4750
34230,681
34310,0
34320,0
35100,8068
35200,737
35300,0
41111,0
41112,432031
41113,18
41121,28798
41122,38
41131,1703
41132,0
41141,295
41142,0
41211,0
41212,98443
41213,0
41221,0
41222,4734
41223,2
41230,455
41240,75
41311,0
41312,15
41313,0
41320,0
42111,0
42112,31925
42113,0
42120,40482
42130,6949
42140,1521
42211,0
42212,4080
42213,0
42221,0
42222,3305
42223,0
42230,910
42240,194
42311,0
42312,0
42321,0
42322,0
43110,10522
43120,51239
43130,10959
43141,2440
43142,0
43211,0
43212,880
43220,3386
43230,820
43240,217
43311,0
43312,0
43320,0
44110,2738
44120,24089
44130,6283
44140,1232
44210,220
44220,1348
44230,342
44240,74
44310,0
44320,0
45100,2646
45200,192
45300,0
