WT_code,Count
11111,0
11112,1828226
11120,279988
11211,0
11212,621158
11220,146716
11230,8011
12111,0
12112,101292
12113,184638
12120,58700
12130,1442
12211,0
12212,65377
12213,29183
12221,0
12222,36502
12230,729
13111,0
13112,102325
13113,151140
13120,74398
13211,0
13212,68361
13220,36331
13230,476
13311,0
13312,38
13320,1
14111,0
14112,86552
14113,73746
14120,108959
14211,0
14212,23668
14213,5846
14221,0
14222,28349
14223,4373
14230,142
14311,0
14312,7
14320,0
21111,0
21112,90903
21113,280795
21120,123651
21130,7781
21211,0
21212,49270
21213,27620
21220,51906
21230,2529
21311,0
21312,76
21320,7
22111,0
22112,36600
22113,79320
22120,59231
22130,1872
22211,0
22212,18985
22213,8434
22220,34605
22230,897
22311,0
22312,10
22320,1
23110,120233
23120,83466
23130,1981
23211,0
23212,20520
23213,8766
23221,0
23222,51061
23230,790
23311,0
23312,12
23320,1
24110,48908
24120,84730
24130,1423
24211,0
24212,6340
24213,2651
24221,0
24222,34297
24223,5529
24230,485
24311,0
24312,0
24320,0
31111,0
31112,45031
31113,160957
31121,61467
31122,43570
31131,10500
31132,1008
31140,1352
31211,0
31212,18280
31213,9516
31220,34186
31230,3430
31240,363
31311,0
31312,27
31320,0
32111,0
32112,21551
32113,58999
32120,62346
32130,4237
32140,317
32211,0
32212,6487
32213,2536
32221,0
32222,25441
32230,1488
32240,101
32311,0
32312,2
32320,3
33110,71981
33120,95211
33130,5657
33211,0
33212,10227
33220,48807
33230,2211
33311,0
33312,1
33321,0
33322,1
34110,15575
34120,56749
34130,4014
34210,3241
34220,30819
34230,1451
34310,0
34320,0
35100,14060
35200,4772
35300,0
41111,0
41112,26053
41113,74209
41121,50436
41122,29738
41131,18909
41132,1765
41141,4263
41142,112
41211,0
41212,12733
41213,5894
41221,0
41222,18083
41223,3139
41230,5577
41240,1050
41311,0
41312,24
41313,3
41320,0
42111,0
42112,16581
42113,51389
42120,130561
42130,33354
42140,5142
42211,0
42212,2748
42213,1122
42221,0
42222,31074
42223,2103
42230,7909
42240,954
42311,0
42312,6
42321,0
42322,0
43110,10269
43120,70519
43130,19918
43141,2408
43142,64
43211,0
43212,387
43220,20594
43230,4933
43240,414
43311,0
43312,0
43320,1
44110,920
44120,30607
44130,11825
44140,1164
44210,69
44220,9939
44230,3127
44240,213
44310,0
44320,0
45100,7076
45200,2109
45300,0
