WT_code,Count
11111,0
11112,800529
11120,162704
11211,0
11212,401682
11220,98810
11230,7648
12111,0
12112,68536
12113,84053
12120,65821
12130,2468
12211,0
12212,47314
12213,16789
12221,0
12222,53090
12230,1675
13111,0
13112,79196
13113,66990
13120,111182
13211,0
13212,45261
13220,57430
13230,1641
13311,0
13312,47
13320,7
14111,0
14112,63558
14113,31720
14120,128594
14211,0
14212,16737
14213,2573
14221,0
14222,27359
14223,4780
14230,891
14311,0
14312,5
14320,7
21111,0
21112,101324
21113,315842
21120,178888
21130,29299
21211,0
21212,59081
21213,36620
21220,75472
21230,10639
21311,0
21312,31
21320,5
22111,0
22112,56572
22113,118688
22120,134599
22130,11176
22211,0
22212,29673
22213,15842
22220,66548
22230,4883
22311,0
22312,19
22320,2
23110,175680
23120,210285
23130,18013
23211,0
23212,26441
23213,13624
23221,0
23222,85190
23230,5370
23311,0
23312,23
23320,3
24110,74669
24120,187318
24130,19124
24211,0
24212,6816
24213,2766
24221,0
24222,33156
24223,7447
24230,2696
24311,0
24312,5
24320,2
31111,0
31112,46644
31113,231101
31121,67633
31122,62598
31131,30232
31132,5248
31140,10586
31211,0
31212,21555
31213,14327
31220,37052
31230,10243
31240,3007
31311,0
31312,7
31320,2
32111,0
32112,24831
32113,101831
32120,133163
32130,27325
32140,4926
32211,0
32212,9648
32213,6586
32221,0
32222,37395
32230,7938
32240,1292
32311,0
32312,11
32320,1
33110,161454
33120,279153
33130,53783
33211,0
33212,18390
33220,79617
33230,14729
33311,0
33312,4
33321,0
33322,0
34110,65719
34120,183826
34130,31920
34210,5361
34220,47822
34230,7579
34310,0
34320,0
35100,37354
35200,6888
35300,0
41111,0
41112,21705
41113,142285
41121,29203
41122,28533
41131,21732
41132,3614
41141,14528
41142,613
41211,0
41212,9076
41213,6272
41221,0
41222,9596
41223,3670
41230,6811
41240,3782
41311,0
41312,4
41313,1
41320,0
42111,0
42112,23450
42113,149899
42120,243229
42130,110112
42140,43522
42211,0
42212,4740
42213,3462
42221,0
42222,30711
42223,7674
42230,22852
42240,9470
42311,0
42312,0
42321,0
42322,0
43110,119557
43120,226732
43130,86638
43141,22549
43142,2866
43211,0
43212,5155
43220,42527
43230,19174
43240,4971
43311,0
43312,0
43320,0
44110,26796
44120,95020
44130,33835
44140,9073
44210,1218
44220,22660
44230,9416
44240,1762
44310,0
44320,0
45100,11379
45200,3752
45300,0
