WT_code,Count
11111,0
11112,869403
11120,136935
11211,0
11212,426506
11220,32081
11230,454
12111,0
12112,120064
12113,5
12120,52142
12130,1037
12211,0
12212,60007
12213,86
12221,0
12222,19244
12230,293
13111,0
13112,82869
13113,4
13120,52537
13211,0
13212,36910
13220,20422
13230,409
13311,0
13312,1
13320,0
14111,0
14112,58842
14113,3
14120,68080
14211,0
14212,11655
14213,6
14221,0
14222,11198
14223,2
14230,291
14311,0
14312,0
14320,0
21111,0
21112,396510
21113,35
21120,127992
21130,4874
21211,0
21212,101669
21213,4
21220,19993
21230,580
21311,0
21312,20
21320,0
22111,0
22112,102810
22113,2
22120,84629
22130,3307
22211,0
22212,25136
22213,1
22220,17549
22230,570
22311,0
22312,0
22320,0
23110,84909
23120,98304
23130,3965
23211,0
23212,18473
23213,0
23221,0
23222,23008
23230,851
23311,0
23312,1
23320,0
24110,33502
24120,81343
24130,4326
24211,0
24212,3091
24213,0
24221,0
24222,9901
24223,2
24230,665
24311,0
24312,0
24320,1
31111,0
31112,259584
31113,30
31121,60560
31122,43
31131,4319
31132,5
31140,138
31211,0
31212,53034
31213,1
31220,8442
31230,532
31240,17
31311,0
31312,10
31320,0
32111,0
32112,63226
32113,1
32120,44884
32130,3909
32140,174
32211,0
32212,10554
32213,0
32221,0
32222,5199
32230,462
32240,27
32311,0
32312,0
32320,0
33110,61550
33120,103841
33130,9210
33211,0
33212,8361
33220,11216
33230,1135
33311,0
33312,0
33321,0
33322,0
34110,16681
34120,72322
34130,6418
34210,1423
34220,6823
34230,764
34310,0
34320,0
35100,19755
35200,1293
35300,0
41111,0
41112,227481
41113,10
41121,22846
41122,17
41131,1870
41132,3
41141,148
41142,0
41211,0
41212,35958
41213,3
41221,0
41222,3297
41223,0
41230,341
41240,33
41311,0
41312,3
41313,0
41320,0
42111,0
42112,59718
42113,1
42120,37288
42130,7430
42140,589
42211,0
42212,6983
42213,0
42221,0
42222,3199
42223,0
42230,875
42240,102
42311,0
42312,0
42321,0
42322,0
43110,10423
43120,46988
43130,9069
43141,614
43142,0
43211,0
43212,895
43220,3040
43230,941
43240,86
43311,0
43312,0
43320,0
44110,1736
44120,25098
44130,5277
44140,356
44210,137
44220,1444
44230,496
44240,46
44310,0
44320,0
45100,3537
45200,225
45300,0
