WT_code,Count
11111,0
11112,652275
11120,100635
11211,0
11212,437521
11220,89873
11230,1197
12111,0
12112,64660
12113,74665
12120,49862
12130,1781
12211,0
12212,49291
12213,16141
12221,0
12222,40788
12230,536
13111,0
13112,67901
13113,70675
13120,82523
13211,0
13212,48623
13220,47760
13230,956
13311,0
13312,120
13320,22
14111,0
14112,58495
14113,39154
14120,92623
14211,0
14212,24123
14213,4130
14221,0
14222,38807
14223,5787
14230,602
14311,0
14312,11
14320,16
21111,0
21112,196495
21113,443308
21120,184228
21130,15019
21211,0
21212,126668
21213,79658
21220,85283
21230,3914
21311,0
21312,181
21320,12
22111,0
22112,63428
22113,113270
22120,120909
22130,14206
22211,0
22212,39848
22213,21984
22220,59531
22230,3162
22311,0
22312,94
22320,7
23110,118454
23120,130887
23130,13556
23211,0
23212,29361
23213,13124
23221,0
23222,72206
23230,3252
23311,0
23312,79
23320,14
24110,36735
24120,72502
24130,4000
24211,0
24212,10535
24213,3053
24221,0
24222,37902
24223,5777
24230,958
24311,0
24312,8
24320,3
31111,0
31112,131916
31113,435983
31121,111325
31122,103904
31131,22079
31132,10742
31140,2638
31211,0
31212,59261
31213,37744
31220,58353
31230,6036
31240,572
31311,0
31312,90
31320,4
32111,0
32112,34981
32113,99021
32120,142681
32130,28034
32140,1392
32211,0
32212,17105
32213,11838
32221,0
32222,37445
32230,4119
32240,275
32311,0
32312,23
32320,3
33110,91172
33120,160953
33130,23777
33211,0
33212,28502
33220,59094
33230,4304
33311,0
33312,24
33321,0
33322,4
34110,20272
34120,51870
34130,5051
34210,9042
34220,29305
34230,1357
34310,0
34320,0
35100,9406
35200,4060
35300,0
41111,0
41112,80328
41113,452551
41121,83453
41122,60026
41131,28431
41132,6012
41141,6874
41142,216
41211,0
41212,30205
41213,22960
41221,0
41222,30089
41223,6239
41230,5184
41240,1101
41311,0
41312,49
41313,8
41320,6
42111,0
42112,31885
42113,134996
42120,235669
42130,48386
42140,5959
42211,0
42212,6565
42213,5022
42221,0
42222,33539
42223,6428
42230,6852
42240,958
42311,0
42312,10
42321,0
42322,2
43110,67972
43120,94197
43130,18833
43141,1816
43142,140
43211,0
43212,3362
43220,22215
43230,4323
43240,318
43311,0
43312,1
43320,0
44110,7022
44120,23963
44130,5830
44140,480
44210,561
44220,7415
44230,1391
44240,86
44310,0
44320,0
45100,2646
45200,614
45300,0
