WT_code,Count
11111,0
11112,452211
11120,79477
11211,0
11212,373548
11220,64530
11230,2589
12111,0
12112,54746
12113,51165
12120,35684
12130,2298
12211,0
12212,49253
12213,19172
12221,0
12222,42394
12230,2197
13111,0
13112,67320
13113,44831
13120,78293
13211,0
13212,45196
13220,57687
13230,3844
13311,0
13312,76
13320,11
14111,0
14112,54286
14113,23304
14120,96553
14211,0
14212,22123
14213,3098
14221,0
14222,40590
14223,6727
14230,3282
14311,0
14312,4
14320,7
21111,0
21112,112565
21113,288807
21120,125519
21130,17649
21211,0
21212,76159
21213,57672
21220,64350
21230,7035
21311,0
21312,76
21320,11
22111,0
22112,75612
22113,147222
22120,104311
22130,16289
22211,0
22212,50133
22213,30567
22220,74940
22230,9160
22311,0
22312,34
22320,5
23110,206644
23120,170846
23130,44317
23211,0
23212,43563
23213,22662
23221,0
23222,101780
23230,17168
23311,0
23312,67
23320,13
24110,73028
24120,123823
24130,47454
24211,0
24212,12686
24213,5402
24221,0
24222,39772
24223,7503
24230,7822
24311,0
24312,33
24320,8
31111,0
31112,60456
31113,270148
31121,74048
31122,44041
31131,23995
31132,4470
31140,8408
31211,0
31212,31284
31213,25528
31220,38460
31230,7729
31240,1950
31311,0
31312,33
31320,6
32111,0
32112,33992
32113,154729
32120,118178
32130,31961
32140,10914
32211,0
32212,17458
32213,14418
32221,0
32222,44674
32230,10228
32240,2656
32311,0
32312,11
32320,3
33110,221472
33120,241945
33130,120788
33211,0
33212,46704
33220,93284
33230,31172
33311,0
33312,14
33321,0
33322,3
34110,83153
34120,157363
34130,78954
34210,18493
34220,52623
34230,13210
34310,0
34320,3
35100,32973
35200,8342
35300,0
41111,0
41112,30793
41113,243589
41121,38817
41122,25099
41131,20079
41132,2566
41141,10550
41142,792
41211,0
41212,13340
41213,13355
41221,0
41222,12831
41223,4199
41230,4941
41240,1831
41311,0
41312,9
41313,0
41320,1
42111,0
42112,25566
42113,206727
42120,196668
42130,102387
42140,57691
42211,0
42212,6903
42213,7482
42221,0
42222,31148
42223,7684
42230,17811
42240,8381
42311,0
42312,4
42321,0
42322,1
43110,162971
43120,228927
43130,109759
43141,31127
43142,22238
43211,0
43212,10959
43220,46188
43230,19188
43240,7656
43311,0
43312,0
43320,1
44110,60558
44120,127335
44130,34503
44140,14299
44210,3070
44220,29337
44230,9395
44240,2570
44310,0
44320,0
45100,18026
45200,4725
45300,0
