WT_code,Count
11111,0
11112,788502
11120,86097
11211,0
11212,447981
11220,28306
11230,362
12111,0
12112,135113
12113,105
12120,36701
12130,569
12211,0
12212,75897
12213,46
12221,0
12222,14188
12230,161
13111,0
13112,109349
13113,35
13120,44625
13211,0
13212,51830
13220,13273
13230,232
13311,0
13312,27
13320,10
14111,0
14112,100213
14113,34
14120,72632
14211,0
14212,22750
14213,12
14221,0
14222,12554
14223,1
14230,188
14311,0
14312,0
14320,0
21111,0
21112,537110
21113,102
21120,143614
21130,4560
21211,0
21212,200567
21213,5
21220,28872
21230,595
21311,0
21312,61
21320,0
22111,0
22112,95677
22113,11
22120,50921
22130,1713
22211,0
22212,27922
22213,0
22220,11611
22230,247
22311,0
22312,8
22320,1
23110,67731
23120,40253
23130,1070
23211,0
23212,12444
23213,0
23221,0
23222,7497
23230,154
23311,0
23312,1
23320,3
24110,29975
24120,31397
24130,570
24211,0
24212,2639
24213,0
24221,0
24222,3826
24223,0
24230,81
24311,0
24312,0
24320,0
31111,0
31112,446753
31113,43
31121,103209
31122,29
31131,7086
31132,0
31140,214
31211,0
31212,134171
31213,2
31220,15778
31230,644
31240,30
31311,0
31312,38
31320,0
32111,0
32112,64350
32113,1
32120,34172
32130,1901
32140,65
32211,0
32212,13386
32213,0
32221,0
32222,4959
32230,180
32240,8
32311,0
32312,0
32320,0
33110,46732
33120,35496
33130,1252
33211,0
33212,7250
33220,4911
33230,148
33311,0
33312,0
33321,0
33322,0
34110,8915
34120,14546
34130,363
34210,1177
34220,1571
34230,30
34310,0
34320,1
35100,2721
35200,284
35300,0
41111,0
41112,354140
41113,20
41121,42483
41122,15
41131,3135
41132,0
41141,167
41142,0
41211,0
41212,73791
41213,1
41221,0
41222,5844
41223,0
41230,505
41240,44
41311,0
41312,5
41313,0
41320,0
42111,0
42112,50036
42113,0
42120,25028
42130,1876
42140,64
42211,0
42212,6440
42213,0
42221,0
42222,2558
42223,0
42230,170
42240,3
42311,0
42312,1
42321,0
42322,0
43110,6431
43120,11557
43130,536
43141,10
43142,0
43211,0
43212,732
43220,1093
43230,47
43240,1
43311,0
43312,0
43320,0
44110,808
44120,3772
44130,97
44140,2
44210,181
44220,295
44230,7
44240,0
44310,0
44320,0
45100,411
45200,41
45300,0
