WT_code,Count
11111,0
11112,1275127
11120,201717
11211,0
11212,508642
11220,49438
11230,953
12111,0
12112,138727
12113,135
12120,49234
12130,601
12211,0
12212,66349
12213,33
12221,0
12222,19730
12230,200
13111,0
13112,110334
13113,58
13120,58423
13211,0
13212,46307
13220,19707
13230,178
13311,0
13312,9
13320,5
14111,0
14112,109157
14113,25
14120,110846
14211,0
14212,24025
14213,17
14221,0
14222,18477
14223,4
14230,103
14311,0
14312,2
14320,1
21111,0
21112,320401
21113,69
21120,126159
21130,4250
21211,0
21212,91725
21213,6
21220,20726
21230,499
21311,0
21312,24
21320,0
22111,0
22112,77500
22113,8
22120,57013
22130,1061
22211,0
22212,20816
22213,1
22220,12838
22230,196
22311,0
22312,2
22320,1
23110,77564
23120,67402
23130,824
23211,0
23212,13595
23213,0
23221,0
23222,12822
23230,154
23311,0
23312,1
23320,0
24110,42569
24120,68375
24130,713
24211,0
24212,3558
24213,0
24221,0
24222,8091
24223,0
24230,128
24311,0
24312,0
24320,0
31111,0
31112,215158
31113,34
31121,67354
31122,31
31131,4838
31132,3
31140,190
31211,0
31212,44691
31213,2
31220,8199
31230,602
31240,34
31311,0
31312,15
31320,0
32111,0
32112,67414
32113,1
32120,40105
32130,1482
32140,53
32211,0
32212,12174
32213,0
32221,0
32222,5669
32230,211
32240,10
32311,0
32312,0
32320,0
33110,61640
33120,58519
33130,1319
33211,0
33212,9064
33220,8508
33230,243
33311,0
33312,1
33321,0
33322,0
34110,13711
34120,31750
34130,604
34210,1376
34220,3369
34230,94
34310,0
34320,0
35100,7111
35200,684
35300,0
41111,0
41112,148202
41113,2
41121,20781
41122,17
41131,2057
41132,1
41141,133
41142,0
41211,0
41212,20851
41213,3
41221,0
41222,2215
41223,2
41230,370
41240,47
41311,0
41312,8
41313,0
41320,0
42111,0
42112,63915
42113,1
42120,28196
42130,2166
42140,124
42211,0
42212,7054
42213,0
42221,0
42222,3000
42223,0
42230,312
42240,26
42311,0
42312,0
42321,0
42322,0
43110,8730
43120,18217
43130,879
43141,27
43142,0
43211,0
43212,880
43220,1753
43230,123
43240,9
43311,0
43312,0
43320,0
44110,1088
44120,8094
44130,395
44140,12
44210,130
44220,477
44230,49
44240,4
44310,0
44320,0
45100,933
45200,84
45300,0
