WT_code,Count
11111,0
11112,840553
11120,165188
11211,0
11212,378361
11220,86464
11230,5721
12111,0
12112,74811
12113,81975
12120,63433
12130,2221
12211,0
12212,46229
12213,13333
12221,0
12222,45513
12230,1072
13111,0
13112,84295
13113,68626
13120,107587
13211,0
13212,42717
13220,48146
13230,944
13311,0
13312,76
13320,24
14111,0
14112,62064
14113,32728
14120,121641
14211,0
14212,14523
14213,2296
14221,0
14222,21502
14223,3254
14230,592
14311,0
14312,6
14320,7
21111,0
21112,115004
21113,334666
21120,190926
21130,31833
21211,0
21212,57522
21213,34178
21220,67993
21230,8926
21311,0
21312,53
21320,10
22111,0
22112,63316
22113,128263
22120,138965
22130,11387
22211,0
22212,29483
22213,14651
22220,60594
22230,3844
22311,0
22312,35
22320,7
23110,189729
23120,210413
23130,17054
23211,0
23212,25484
23213,11606
23221,0
23222,72015
23230,3865
23311,0
23312,72
23320,7
24110,74017
24120,176086
24130,17834
24211,0
24212,6053
24213,2100
24221,0
24222,25924
24223,5199
24230,1820
24311,0
24312,11
24320,5
31111,0
31112,53779
31113,249878
31121,75393
31122,62576
31131,33708
31132,5164
31140,11806
31211,0
31212,20380
31213,13924
31220,32874
31230,8833
31240,2600
31311,0
31312,19
31320,1
32111,0
32112,26118
32113,108238
32120,136483
32130,28439
32140,5319
32211,0
32212,9446
32213,6037
32221,0
32222,33078
32230,6746
32240,1220
32311,0
32312,7
32320,1
33110,168410
33120,281426
33130,52000
33211,0
33212,16545
33220,65884
33230,11375
33311,0
33312,15
33321,0
33322,3
34110,63983
34120,173478
34130,29176
34210,4649
34220,38004
34230,5148
34310,1
34320,0
35100,33094
35200,5025
35300,0
41111,0
41112,24268
41113,161909
41121,29250
41122,28616
41131,21778
41132,3532
41141,15014
41142,513
41211,0
41212,7691
41213,6451
41221,0
41222,8125
41223,3920
41230,5782
41240,2839
41311,0
41312,3
41313,0
41320,0
42111,0
42112,22248
42113,155006
42120,239429
42130,105600
42140,42714
42211,0
42212,3905
42213,2863
42221,0
42222,25419
42223,6350
42230,18172
42240,7324
42311,0
42312,0
42321,0
42322,1
43110,117980
43120,217013
43130,79083
43141,19264
43142,2356
43211,0
43212,3997
43220,33412
43230,14550
43240,3603
43311,0
43312,0
43320,0
44110,24700
44120,84829
44130,29145
44140,6913
44210,877
44220,16506
44230,6242
44240,1112
44310,0
44320,0
45100,8992
45200,2445
45300,0
