WT_code,Count
11111,0
11112,1870584
11120,265499
11211,0
11212,598511
11220,131725
11230,6650
12111,0
12112,102328
12113,180911
12120,54067
12130,1104
12211,0
12212,65696
12213,25752
12221,0
12222,31763
12230,546
13111,0
13112,101060
13113,151483
13120,68683
13211,0
13212,67805
13220,31125
13230,336
13311,0
13312,109
13320,5
14111,0
14112,84155
14113,74663
14120,101578
14211,0
14212,23838
14213,5775
14221,0
14222,24988
14223,3944
14230,152
14311,0
14312,8
14320,3
21111,0
21112,98155
21113,294600
21120,124866
21130,7380
21211,0
21212,47434
21213,28032
21220,48860
21230,2275
21311,0
21312,108
21320,1
22111,0
22112,36395
22113,79484
22120,56922
22130,1676
22211,0
22212,18486
22213,7844
22220,31640
22230,751
22311,0
22312,20
22320,1
23110,117070
23120,78471
23130,1646
23211,0
23212,21213
23213,7751
23221,0
23222,46552
23230,714
23311,0
23312,5
23320,1
24110,46631
24120,79656
24130,1273
24211,0
24212,7343
24213,2269
24221,0
24222,31168
24223,4402
24230,433
24311,0
24312,2
24320,1
31111,0
31112,46822
31113,166681
31121,64810
31122,43260
31131,10687
31132,1005
31140,1366
31211,0
31212,17831
31213,9777
31220,32297
31230,3184
31240,339
31311,0
31312,41
31320,3
32111,0
32112,20518
32113,57348
32120,60842
32130,3906
32140,285
32211,0
32212,6117
32213,2212
32221,0
32222,23373
32230,1459
32240,77
32311,0
32312,11
32320,0
33110,68072
33120,91195
33130,4809
33211,0
33212,9963
33220,44187
33230,1833
33311,0
33312,4
33321,0
33322,0
34110,14460
34120,54257
34130,3636
34210,3378
34220,27321
34230,1007
34310,1
34320,0
35100,13637
35200,3784
35300,0
41111,0
41112,27654
41113,72363
41121,52600
41122,28966
41131,18833
41132,1478
41141,4011
41142,82
41211,0
41212,11230
41213,5128
41221,0
41222,16270
41223,3039
41230,4763
41240,815
41311,0
41312,24
41313,14
41320,0
42111,0
42112,15941
42113,49118
42120,128053
42130,30699
42140,4446
42211,0
42212,2452
42213,944
42221,0
42222,26078
42223,1879
42230,6604
42240,699
42311,0
42312,2
42321,0
42322,0
43110,10060
43120,68245
43130,17582
43141,2111
43142,34
43211,0
43212,356
43220,16655
43230,3827
43240,291
43311,0
43312,1
43320,0
44110,925
44120,29049
44130,10566
44140,1092
44210,79
44220,7064
44230,2118
44240,131
44310,0
44320,0
45100,6099
45200,1238
45300,0
