WT_code,Count
11111,0
11112,648411
11120,102493
11211,0
11212,470091
11220,102342
11230,1578
12111,0
12112,63995
12113,81634
12120,52171
12130,1905
12211,0
12212,52690
12213,20787
12221,0
12222,47832
12230,766
13111,0
13112,65474
13113,75204
13120,86405
13211,0
13212,52697
13220,59430
13230,1381
13311,0
13312,72
13320,17
14111,0
14112,54511
14113,39670
14120,93503
14211,0
14212,26913
14213,5139
14221,0
14222,46566
14223,7783
14230,836
14311,0
14312,4
14320,5
21111,0
21112,181766
21113,430251
21120,179471
21130,14475
21211,0
21212,128685
21213,84026
21220,95590
21230,4432
21311,0
21312,270
21320,13
22111,0
22112,59247
22113,115166
22120,117343
22130,13613
22211,0
22212,41668
22213,25140
22220,67816
22230,3597
22311,0
22312,71
22320,7
23110,120647
23120,131571
23130,13373
23211,0
23212,31051
23213,16002
23221,0
23222,85835
23230,4118
23311,0
23312,70
23320,5
24110,37051
24120,72607
24130,3923
24211,0
24212,10764
24213,3863
24221,0
24222,45700
24223,8291
24230,1345
24311,0
24312,4
24320,2
31111,0
31112,118404
31113,408146
31121,102524
31122,104589
31131,20660
31132,11030
31140,2441
31211,0
31212,61408
31213,38911
31220,65898
31230,6621
31240,479
31311,0
31312,107
31320,7
32111,0
32112,33833
32113,97106
32120,138862
32130,27825
32140,1304
32211,0
32212,19052
32213,12910
32221,0
32222,42667
32230,4684
32240,240
32311,0
32312,14
32320,1
33110,91376
33120,159670
33130,23625
33211,0
33212,31358
33220,68966
33230,5257
33311,0
33312,6
33321,0
33322,1
34110,20181
34120,51920
34130,4945
34210,9540
34220,35765
34230,1748
34310,0
34320,0
35100,9430
35200,4822
35300,0
41111,0
41112,72816
41113,404317
41121,79839
41122,59196
41131,28479
41132,6628
41141,7034
41142,276
41211,0
41212,33364
41213,23203
41221,0
41222,36077
41223,7076
41230,6349
41240,1206
41311,0
41312,52
41313,9
41320,3
42111,0
42112,34556
42113,136915
42120,241347
42130,49882
42140,6446
42211,0
42212,7867
42213,5985
42221,0
42222,40894
42223,7941
42230,8784
42240,1037
42311,0
42312,5
42321,0
42322,0
43110,76204
43120,100564
43130,19557
43141,2148
43142,126
43211,0
43212,4262
43220,27854
43230,5236
43240,373
43311,0
43312,0
43320,1
44110,8414
44120,25280
44130,5832
44140,558
44210,651
44220,9511
44230,1953
44240,112
44310,0
44320,0
45100,3161
45200,772
45300,0
