WT_code,Count
11111,0
11112,458967
11120,82455
11211,0
11212,396883
11220,72139
11230,2656
12111,0
12112,53956
12113,52954
12120,38045
12130,2610
12211,0
12212,52397
12213,21361
12221,0
12222,47419
12230,2484
13111,0
13112,65853
13113,45422
13120,84469
13211,0
13212,49279
13220,66443
13230,4431
13311,0
13312,102
13320,15
14111,0
14112,48128
14113,21835
14120,95384
14211,0
14212,23957
14213,3576
14221,0
14222,47101
14223,7207
14230,3816
14311,0
14312,7
14320,12
21111,0
21112,110603
21113,292335
21120,129992
21130,18716
21211,0
21212,76673
21213,59833
21220,69043
21230,7404
21311,0
21312,87
21320,21
22111,0
22112,74463
22113,151567
22120,110469
22130,17777
22211,0
22212,50932
22213,33245
22220,80939
22230,9661
22311,0
22312,48
22320,19
23110,205474
23120,177347
23130,43972
23211,0
23212,45309
23213,25630
23221,0
23222,110639
23230,18318
23311,0
23312,100
23320,23
24110,68307
24120,120083
24130,44595
24211,0
24212,14224
24213,5615
24221,0
24222,44547
24223,8191
24230,8746
24311,0
24312,24
24320,4
31111,0
31112,59693
31113,273945
31121,70574
31122,47982
31131,23360
31132,4576
31140,8039
31211,0
31212,31184
31213,25428
31220,39747
31230,7539
31240,1772
31311,0
31312,37
31320,6
32111,0
32112,32654
32113,155904
32120,122568
32130,32820
32140,11009
32211,0
32212,17433
32213,14724
32221,0
32222,46289
32230,10584
32240,2519
32311,0
32312,7
32320,4
33110,214170
33120,241599
33130,120896
33211,0
33212,48277
33220,94959
33230,30946
33311,0
33312,6
33321,0
33322,4
34110,76870
34120,149992
34130,74034
34210,19285
34220,53113
34230,13186
34310,2
34320,1
35100,30150
35200,8614
35300,0
41111,0
41112,29478
41113,239047
41121,34014
41122,25153
41131,16983
41132,2201
41141,8260
41142,622
41211,0
41212,12657
41213,11844
41221,0
41222,13146
41223,3990
41230,4599
41240,1747
41311,0
41312,12
41313,6
41320,4
42111,0
42112,23644
42113,203532
42120,192611
42130,97019
42140,52086
42211,0
42212,6720
42213,7177
42221,0
42222,30707
42223,7552
42230,18242
42240,8421
42311,0
42312,0
42321,0
42322,2
43110,154460
43120,216992
43130,100904
43141,27733
43142,20277
43211,0
43212,10677
43220,45422
43230,19135
43240,7784
43311,0
43312,0
43320,0
44110,55328
44120,117227
44130,30869
44140,12777
44210,2810
44220,26873
44230,8463
44240,2450
44310,0
44320,0
45100,16616
45200,4154
45300,0
