WT_code,Count
99999,1187450
11111,0
11112,1131610
11120,306473
11211,0
11212,412425
11220,98033
11230,2433
12111,0
12112,97450
12113,23
12120,89414
12130,2687
12211,0
12212,49810
12213,6
12221,0
12222,40953
12230,1180
13111,0
13112,67035
13113,5
13120,97377
13211,0
13212,35346
13220,38491
13230,1084
13311,0
13312,2
13320,0
14111,0
14112,44844
14113,8
14120,141274
14211,0
14212,11487
14213,21
14221,0
14222,22324
14223,3
14230,743
14311,0
14312,0
14320,1
21111,0
21112,275969
21113,41
21120,160192
21130,12270
21211,0
21212,68131
21213,0
21220,36333
21230,1481
21311,0
21312,53
21320,5
22111,0
22112,53383
22113,6
22120,82756
22130,4826
22211,0
22212,14553
22213,0
22220,21505
22230,724
22311,0
22312,9
22320,6
23110,49457
23120,109345
23130,5115
23211,0
23212,10339
23213,0
23221,0
23222,24069
23230,879
23311,0
23312,0
23320,2
24110,22749
24120,109514
24130,5826
24211,0
24212,2192
24213,0
24221,0
24222,12837
24223,0
24230,804
24311,0
24312,0
24320,0
31111,0
31112,178405
31113,6
31121,76871
31122,30
31131,9321
31132,10
31140,345
31211,0
31212,33697
31213,0
31220,13985
31230,884
31240,16
31311,0
31312,22
31320,0
32111,0
32112,47326
32113,0
32120,52861
32130,5120
32140,236
32211,0
32212,8034
32213,0
32221,0
32222,8668
32230,415
32240,7
32311,0
32312,1
32320,1
33110,38503
33120,88706
33130,7331
33211,0
33212,6219
33220,13580
33230,719
33311,0
33312,1
33321,0
33322,0
34110,7602
34120,54155
34130,4844
34210,948
34220,6251
34230,569
34310,0
34320,0
35100,13515
35200,1057
35300,0
41111,0
41112,139516
41113,1
41121,31932
41122,11
41131,3503
41132,4
41141,172
41142,0
41211,0
41212,23765
41213,0
41221,0
41222,5455
41223,0
41230,387
41240,15
41311,0
41312,4
41313,0
41320,0
42111,0
42112,43579
42113,0
42120,35001
42130,4375
42140,313
42211,0
42212,5841
42213,0
42221,0
42222,4151
42223,0
42230,324
42240,16
42311,0
42312,0
42321,0
42322,0
43110,4464
43120,22004
43130,2796
43141,175
43142,0
43211,0
43212,597
43220,1961
43230,202
43240,5
43311,0
43312,0
43320,0
44110,382
44120,10916
44130,1652
44140,108
44210,51
44220,623
44230,97
44240,5
44310,0
44320,0
45100,1697
45200,62
45300,0
