WT_code,Count
11111,0
11112,1895896
11120,279799
11211,0
11212,641976
11220,131588
11230,4548
12111,0
12112,92274
12113,172122
12120,68527
12130,1289
12211,0
12212,58058
12213,29900
12221,0
12222,34110
12230,551
13111,0
13112,85097
13113,124589
13120,84854
13211,0
13212,70423
13220,38509
13230,704
13311,0
13312,31
13320,3
14111,0
14112,57752
14113,43134
14120,111438
14211,0
14212,25450
14213,6833
14221,0
14222,31469
14223,4292
14230,515
14311,0
14312,3
14320,0
21111,0
21112,99224
21113,250330
21120,153575
21130,7217
21211,0
21212,60065
21213,32947
21220,64841
21230,2371
21311,0
21312,110
21320,1
22111,0
22112,37279
22113,61884
22120,66964
22130,1766
22211,0
22212,21493
22213,10133
22220,35556
22230,748
22311,0
22312,7
22320,1
23110,92668
23120,91590
23130,2128
23211,0
23212,21370
23213,8904
23221,0
23222,45743
23230,801
23311,0
23312,8
23320,0
24110,34768
24120,90707
24130,2174
24211,0
24212,7393
24213,1989
24221,0
24222,28726
24223,3180
24230,888
24311,0
24312,0
24320,0
31111,0
31112,52289
31113,145419
31121,76960
31122,48672
31131,9696
31132,724
31140,1360
31211,0
31212,24323
31213,12295
31220,44044
31230,3253
31240,490
31311,0
31312,23
31320,1
32111,0
32112,21076
32113,40349
32120,65056
32130,4103
32140,353
32211,0
32212,8249
32213,3353
32221,0
32222,26219
32230,1337
32240,126
32311,0
32312,3
32320,2
33110,50409
33120,87716
33130,5447
33211,0
33212,11478
33220,38938
33230,2076
33311,0
33312,0
33321,0
33322,0
34110,10729
34120,48956
34130,3668
34210,2382
34220,18403
34230,1449
34310,0
34320,0
35100,13826
35200,3548
35300,0
41111,0
41112,34061
41113,86619
41121,66825
41122,35640
41131,19397
41132,1738
41141,4095
41142,180
41211,0
41212,18411
41213,9429
41221,0
41222,24045
41223,4613
41230,6155
41240,1400
41311,0
41312,18
41313,11
41320,2
42111,0
42112,15432
42113,29538
42120,110722
42130,28717
42140,5740
42211,0
42212,4084
42213,1888
42221,0
42222,26854
42223,2144
42230,7079
42240,1396
42311,0
42312,2
42321,0
42322,1
43110,5394
43120,44593
43130,14957
43141,2731
43142,65
43211,0
43212,526
43220,12051
43230,3770
43240,670
43311,0
43312,0
43320,0
44110,549
44120,18922
44130,9025
44140,1772
44210,70
44220,4735
44230,2581
44240,382
44310,0
44320,0
45100,6977
45200,1871
45300,0
