WT_code,Count
11111,0
11112,463762
11120,80183
11211,0
11212,373948
11220,65802
11230,2611
12111,0
12112,54958
12113,52734
12120,36736
12130,2498
12211,0
12212,48448
12213,18187
12221,0
12222,43129
12230,2312
13111,0
13112,67024
13113,48893
13120,79425
13211,0
13212,42958
13220,57490
13230,4012
13311,0
13312,84
13320,8
14111,0
14112,53217
14113,24392
14120,96826
14211,0
14212,20181
14213,2982
14221,0
14222,40769
14223,5971
14230,3020
14311,0
14312,7
14320,5
21111,0
21112,113317
21113,292781
21120,124307
21130,18103
21211,0
21212,76683
21213,56968
21220,65251
21230,7244
21311,0
21312,61
21320,5
22111,0
22112,76140
22113,149441
22120,103638
22130,17052
22211,0
22212,50269
22213,30457
22220,75118
22230,9463
22311,0
22312,43
22320,7
23110,210048
23120,170940
23130,43333
23211,0
23212,42816
23213,21920
23221,0
23222,100233
23230,16647
23311,0
23312,87
23320,15
24110,73880
24120,123448
24130,47069
24211,0
24212,11894
24213,4478
24221,0
24222,38534
24223,6891
24230,7273
24311,0
24312,29
24320,7
31111,0
31112,61621
31113,272017
31121,73972
31122,41846
31131,23762
31132,4180
31140,8315
31211,0
31212,32045
31213,26047
31220,39372
31230,8008
31240,1908
31311,0
31312,34
31320,5
32111,0
32112,34289
32113,154231
32120,116213
32130,31467
32140,11104
32211,0
32212,18033
32213,14189
32221,0
32222,44877
32230,10126
32240,2563
32311,0
32312,12
32320,5
33110,223314
33120,241327
33130,119279
33211,0
33212,47016
33220,90414
33230,29619
33311,0
33312,12
33321,0
33322,6
34110,84066
34120,158882
34130,77645
34210,17020
34220,48719
34230,11998
34310,4
34320,2
35100,33115
35200,7416
35300,0
41111,0
41112,31926
41113,247815
41121,38437
41122,23762
41131,19968
41132,2352
41141,10551
41142,615
41211,0
41212,13264
41213,13947
41221,0
41222,13325
41223,4272
41230,4931
41240,1903
41311,0
41312,9
41313,0
41320,2
42111,0
42112,24550
42113,205761
42120,189528
42130,98155
42140,55379
42211,0
42212,6945
42213,7301
42221,0
42222,30857
42223,7466
42230,17864
42240,8351
42311,0
42312,2
42321,0
42322,0
43110,163516
43120,224585
43130,105367
43141,30877
43142,21183
43211,0
43212,10080
43220,44340
43230,19001
43240,7724
43311,0
43312,0
43320,0
44110,59057
44120,123824
44130,33352
44140,14036
44210,2731
44220,26397
44230,8749
44240,2350
44310,0
44320,0
45100,17508
45200,4111
45300,0
