Percentiles,Rainfall Values
1,0.664
2,0.768
3,1.137
4,1.194
5,1.534
6,1.814
7,2.378
8,2.893
9,3.198
10,3.338
11,3.658
12,3.972
13,5.236
14,6.497
15,6.562
16,6.676
17,7.072
18,7.287
19,7.549
20,7.79
21,8.303
22,8.36
23,8.471
24,8.635
25,8.664
26,8.875
27,8.927
28,9.028
29,9.157
30,9.196
31,9.201
32,9.308
33,9.434
34,9.537
35,9.846
36,9.982
37,10.106
38,10.247
39,10.444
40,10.481
41,10.629
42,10.855
43,11.068
44,11.481
45,11.935
46,12.052
47,12.078
48,12.105
49,12.265
50,12.535
51,12.939
52,13.182
53,13.221
54,13.246
55,13.274
56,13.45
57,13.827
58,14.203
59,14.696
60,14.816
61,14.878
62,15.636
63,15.869
64,15.979
65,16.249
66,16.881
67,17.107
68,17.33
69,17.68
70,18.475
71,18.807
72,19.248
73,19.618
74,20.232
75,20.453
76,21.087
77,21.563
78,22.708
79,23.146
80,23.792
81,24.252
82,26
83,26.375
84,26.789
85,28.439
86,29.357
87,29.59
88,30.36
89,31.265
90,33.477
91,38.141
92,42.121
93,46.674
94,47.026
95,47.893
96,48.526
97,50.085
98,53.831
99,91.415
