Percentiles,Rainfall Values
1,0.409
2,0.58
3,0.693
4,1.055
5,1.4
6,2.381
7,3.039
8,3.372
9,3.581
10,3.802
11,3.932
12,4.785
13,5.819
14,5.939
15,6.295
16,6.867
17,7.137
18,7.362
19,7.545
20,8.312
21,8.442
22,8.63
23,8.682
24,8.707
25,8.88
26,8.993
27,9.2
28,9.389
29,9.63
30,9.662
31,9.82
32,9.934
33,10.217
34,10.258
35,10.429
36,10.732
37,10.952
38,10.98
39,10.997
40,11.091
41,11.382
42,11.466
43,11.538
44,11.806
45,11.934
46,12.031
47,12.108
48,12.23
49,12.315
50,12.587
51,12.809
52,12.852
53,13.107
54,13.364
55,13.765
56,14.379
57,14.474
58,14.626
59,14.719
60,15.503
61,15.651
62,15.994
63,16.098
64,16.348
65,16.756
66,16.921
67,17.197
68,17.68
69,18.714
70,19.013
71,19.061
72,19.281
73,20.161
74,20.516
75,20.567
76,20.773
77,20.852
78,21
79,21.308
80,21.683
81,22.035
82,22.589
83,24.357
84,25.489
85,26.8
86,27.319
87,30.345
88,33.057
89,33.576
90,35.306
91,37.415
92,39.125
93,39.927
94,40.478
95,45.483
96,48.62
97,53.082
98,53.754
99,88.006
