Percentiles,Rainfall Values
1,0.023
2,0.092
3,0.183
4,0.282
5,0.385
6,0.481
7,0.577
8,0.671
9,0.778
10,0.885
11,1.007
12,1.121
13,1.228
14,1.331
15,1.431
16,1.549
17,1.656
18,1.755
19,1.862
20,2.007
21,2.113
22,2.243
23,2.365
24,2.491
25,2.628
26,2.777
27,2.914
28,3.067
29,3.204
30,3.357
31,3.508
32,3.674
33,3.857
34,4.002
35,4.158
36,4.341
37,4.516
38,4.692
39,4.852
40,5.035
41,5.219
42,5.428
43,5.637
44,5.852
45,6.058
46,6.287
47,6.516
48,6.76
49,6.981
50,7.208
51,7.431
52,7.675
53,7.942
54,8.257
55,8.575
56,8.896
57,9.186
58,9.476
59,9.798
60,10.157
61,10.544
62,10.906
63,11.276
64,11.639
65,12.062
66,12.531
67,12.947
68,13.428
69,13.885
70,14.359
71,14.908
72,15.468
73,15.984
74,16.494
75,17.117
76,17.83
77,18.584
78,19.447
79,20.174
80,21.069
81,21.973
82,23.071
83,24.162
84,25.272
85,26.743
86,28.252
87,29.892
88,31.819
89,34.18
90,36.805
91,39.671
92,42.962
93,46.884
94,51.73
95,57.56
96,64.176
97,72.626
98,85.25
99,104.388
